district,year,season,area,production,yield,crop,mean_temperature,mean_relative_humidity,max_temperature,soil_temperature,min_temperature,soil_noisture,wind_speed,rain_sum,orthids,udupts/udalfs,ustalf/ustolls,inceptisols
24 paraganas north,1997-01-01,Whole Year,1345.0,1274.0,0.9472118959107808,Arecanut,25.332406699580613,77.51048772584099,29.93461306205872,26.727148865375767,21.62195672081542,0.2827861625944505,12.339231034665818,5.097359783935872,100.0,0.0,0.0,0.0
24 paraganas north,1997-01-01,Whole Year,45.0,40.0,0.8888888888888888,Arhar/Tur,25.332406699580613,77.51048772584099,29.93461306205872,26.727148865375767,21.62195672081542,0.2827861625944505,12.339231034665818,5.097359783935872,100.0,0.0,0.0,0.0
24 paraganas north,1997-01-01,Whole Year,2975.0,40162500.0,13500.0,Coconut,25.332406699580613,77.51048772584099,29.93461306205872,26.727148865375767,21.62195672081542,0.2827861625944505,12.339231034665818,5.097359783935872,100.0,0.0,0.0,0.0
24 paraganas north,1997-01-01,Whole Year,3916.0,7706.0,1.96782431052094,Dry chillies,25.332406699580613,77.51048772584099,29.93461306205872,26.727148865375767,21.62195672081542,0.2827861625944505,12.339231034665818,5.097359783935872,100.0,0.0,0.0,0.0
24 paraganas north,1997-01-01,Winter,267.0,160.0,0.599250936329588,Gram,22.57247584541063,71.04735305958133,27.96805555555556,24.24870219404187,17.768949275362317,0.2030863476247986,10.390048309178743,0.9558937198067634,100.0,0.0,0.0,0.0
24 paraganas north,1997-01-01,Whole Year,1719.0,2840.0,1.652123327515998,Groundnut,25.332406699580613,77.51048772584099,29.93461306205872,26.727148865375767,21.62195672081542,0.2827861625944505,12.339231034665818,5.097359783935872,100.0,0.0,0.0,0.0
24 paraganas north,1997-01-01,Monsoon,52568.0,677510.0,12.88825901689241,Jute,27.694565217391304,87.7590579710145,30.88695652173913,28.644112318840584,25.75652173913044,0.4102604166666667,13.508695652173914,12.333695652173914,100.0,0.0,0.0,0.0
24 paraganas north,1997-01-01,Winter,117.0,90.0,0.7692307692307693,Khesari,22.57247584541063,71.04735305958133,27.96805555555556,24.24870219404187,17.768949275362317,0.2030863476247986,10.390048309178743,0.9558937198067634,100.0,0.0,0.0,0.0
24 paraganas north,1997-01-01,Whole Year,123.0,20.0,0.1626016260162602,Linseed,25.332406699580613,77.51048772584099,29.93461306205872,26.727148865375767,21.62195672081542,0.2827861625944505,12.339231034665818,5.097359783935872,100.0,0.0,0.0,0.0
24 paraganas north,1997-01-01,Whole Year,5.0,10.0,2.0,Maize,25.332406699580613,77.51048772584099,29.93461306205872,26.727148865375767,21.62195672081542,0.2827861625944505,12.339231034665818,5.097359783935872,100.0,0.0,0.0,0.0
24 paraganas north,1997-01-01,Winter,6179.0,3720.0,0.6020391649134164,Masoor,22.57247584541063,71.04735305958133,27.96805555555556,24.24870219404187,17.768949275362317,0.2030863476247986,10.390048309178743,0.9558937198067634,100.0,0.0,0.0,0.0
24 paraganas north,1997-01-01,Monsoon,690.0,6710.0,9.72463768115942,Mesta,27.694565217391304,87.7590579710145,30.88695652173913,28.644112318840584,25.75652173913044,0.4102604166666667,13.508695652173914,12.333695652173914,100.0,0.0,0.0,0.0
24 paraganas north,1997-01-01,Winter,65.0,49.0,0.7538461538461538,Moong(Green Gram),22.57247584541063,71.04735305958133,27.96805555555556,24.24870219404187,17.768949275362317,0.2030863476247986,10.390048309178743,0.9558937198067634,100.0,0.0,0.0,0.0
24 paraganas north,1997-01-01,Summer,175.0,5.0,0.0285714285714285,Moong(Green Gram),28.49010989010989,80.18818681318682,32.91538461538461,29.76707875457875,25.1934065934066,0.3147115384615384,15.068131868131868,6.143956043956044,100.0,0.0,0.0,0.0
24 paraganas north,1997-01-01,Winter,4205800.0,3183800.0,0.7570022350087974,Oilseeds,22.57247584541063,71.04735305958133,27.96805555555556,24.24870219404187,17.768949275362317,0.2030863476247986,10.390048309178743,0.9558937198067634,100.0,0.0,0.0,0.0
24 paraganas north,1997-01-01,Whole Year,6199.0,131431.0,21.20196805936441,Potato,25.332406699580613,77.51048772584099,29.93461306205872,26.727148865375767,21.62195672081542,0.2827861625944505,12.339231034665818,5.097359783935872,100.0,0.0,0.0,0.0
