district,year,Season,Area (Hectare),Production (Tonnes),Yield (Tonnes/Hectare),Crop,State,mean_temperature_2m_mean (Â°C)_seasonal,mean_relative_humidity_2m (%)_seasonal,mean_temperature_2m_max (Â°C)_seasonal,mean_soil_temperature_0_to_7cm (Â°C)_seasonal,mean_temperature_2m_min (Â°C)_seasonal,mean_soil_moisture_0_to_7cm (mÂ³/mÂ³)_seasonal,mean_wind_speed_10m_max (km/h)_seasonal,mean_rain_sum (mm)_seasonal
24 paraganas north,1997,Whole Year,1345.0,1274.0,0.9472118959107808,Arecanut,West Bengal,25.332406699580613,77.51048772584099,29.934613062058716,26.727148865375767,21.62195672081542,0.28278616259445055,12.339231034665818,5.097359783935872
24 paraganas north,1997,Whole Year,45.0,40.0,0.8888888888888888,Arhar/Tur,West Bengal,25.332406699580613,77.51048772584099,29.934613062058716,26.727148865375767,21.62195672081542,0.28278616259445055,12.339231034665818,5.097359783935872
24 paraganas north,1997,Whole Year,2975.0,40162500.0,13500.0,Coconut,West Bengal,25.332406699580613,77.51048772584099,29.934613062058716,26.727148865375767,21.62195672081542,0.28278616259445055,12.339231034665818,5.097359783935872
24 paraganas north,1997,Whole Year,3916.0,7706.0,1.96782431052094,Dry chillies,West Bengal,25.332406699580613,77.51048772584099,29.934613062058716,26.727148865375767,21.62195672081542,0.28278616259445055,12.339231034665818,5.097359783935872
24 paraganas north,1997,Winter,267.0,160.0,0.599250936329588,Gram,West Bengal,22.57247584541063,71.04735305958133,27.968055555555562,24.24870219404187,17.768949275362317,0.20308634762479866,10.390048309178745,0.9558937198067634
24 paraganas north,1997,Whole Year,1719.0,2840.0,1.652123327515998,Groundnut,West Bengal,25.332406699580613,77.51048772584099,29.934613062058716,26.727148865375767,21.62195672081542,0.28278616259445055,12.339231034665818,5.097359783935872
24 paraganas north,1997,Monsoon,52568.0,677510.0,12.88825901689241,Jute,West Bengal,27.694565217391304,87.7590579710145,30.88695652173913,28.644112318840584,25.75652173913044,0.4102604166666667,13.508695652173914,12.333695652173914
24 paraganas north,1997,Winter,117.0,90.0,0.7692307692307693,Khesari,West Bengal,22.57247584541063,71.04735305958133,27.968055555555562,24.24870219404187,17.768949275362317,0.20308634762479866,10.390048309178745,0.9558937198067634
24 paraganas north,1997,Whole Year,123.0,20.0,0.1626016260162602,Linseed,West Bengal,25.332406699580613,77.51048772584099,29.934613062058716,26.727148865375767,21.62195672081542,0.28278616259445055,12.339231034665818,5.097359783935872
24 paraganas north,1997,Whole Year,5.0,10.0,2.0,Maize,West Bengal,25.332406699580613,77.51048772584099,29.934613062058716,26.727148865375767,21.62195672081542,0.28278616259445055,12.339231034665818,5.097359783935872
24 paraganas north,1997,Winter,6179.0,3720.0,0.6020391649134164,Masoor,West Bengal,22.57247584541063,71.04735305958133,27.968055555555562,24.24870219404187,17.768949275362317,0.20308634762479866,10.390048309178745,0.9558937198067634
24 paraganas north,1997,Monsoon,690.0,6710.0,9.72463768115942,Mesta,West Bengal,27.694565217391304,87.7590579710145,30.88695652173913,28.644112318840584,25.75652173913044,0.4102604166666667,13.508695652173914,12.333695652173914
24 paraganas north,1997,Winter,65.0,49.0,0.7538461538461538,Moong(Green Gram),West Bengal,22.57247584541063,71.04735305958133,27.968055555555562,24.24870219404187,17.768949275362317,0.20308634762479866,10.390048309178745,0.9558937198067634
24 paraganas north,1997,Summer,175.0,5.0,0.0285714285714285,Moong(Green Gram),West Bengal,28.49010989010989,80.18818681318682,32.91538461538461,29.76707875457875,25.1934065934066,0.3147115384615384,15.068131868131868,6.143956043956044
